trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
592,False,"{'a': 0.997321990813787, 'e': 0.0026063648003981387}",30,15,30.238226861723774,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
593,False,"{'a': 0.997348566798634, 'e': 0.0025803011523941573}",20,14,12.445373203263559,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
594,False,"{'a': 0.9973748797433398, 'e': 0.0025544981408702158}",25,11,28.90794254101061,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.9974009322376768, 'e': 0.0025289531594615135}",20,12,16.752347789207274,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.9974267268461897, 'e': 0.0025036636278668984}",30,13,32.890414514869136,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
597,False,"{'a': 0.9974522661084374, 'e': 0.0024786269915882293}",25,19,10.214827160085886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
598,False,"{'a': 0.9974775525392304, 'e': 0.002453840721672347}",25,4,30.62875331884731,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.9975025886288664, 'e': 0.0024293023144556234}",25,20,8.247828480788002,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
600,False,"{'a': 0.9975273768433653, 'e': 0.0024050092913110673}",30,8,37.9597003762612,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.9975519196246999, 'e': 0.0023809591983979567}",20,13,14.96519174564252,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.997576219391026, 'e': 0.002357149606413977}",20,10,18.304041456439727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.9976002785369102, 'e': 0.002333578110349837}",20,6,25.038054561515207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
604,False,"{'a': 0.997624099433555, 'e': 0.0023102423292463386}",25,18,11.491972902128397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.997647684429022, 'e': 0.0022871399059538754}",25,18,12.42330416657986,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.9976710358484532, 'e': 0.0022642685068943367}",30,20,19.806798615485928,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.9976941559942918, 'e': 0.002241625821825393}",25,19,10.62390485273325,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.997717047146497, 'e': 0.0022192095636071395}",30,16,24.230819521848858,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.9977397115627613, 'e': 0.002197017467971068}",20,14,14.623488356149151,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.9977621514787236, 'e': 0.002175047293291357}",20,15,8.316356600833183,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
