trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,15,0.04688069660110239,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",25,10,23.008319933752333,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-57.16311892862734,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,3,-123.55035212333013,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,10,-2.9937362852366074,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,15,9.90319162260722,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",25,8,18.389415224122068,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,8,18.95825176714987,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",20,9,2.6702898390790537,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",25,14,-35.10799459617526,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,0,18.527518981121897,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,7,8.950821342101817,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,15,-35.921954584550676,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,0,-27.41508992899373,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,8,-6.607949733421902,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,8,-8.713328578661528,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,15,6.3775064732367515,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,3,3.7803894668569127,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,0,11.668627551271845,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,9,-22.057255738778064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",30,16,12.671209586286352,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",20,8,10.484661699780618,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,4,-3.992126245961635,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.19499999999999929}",30,13,-3.6236726837707884,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,3,24.126587452598997,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.18499999999999928}",20,12,14.944661475509207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,6,-1.7394556996709254,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.17499999999999927}",20,16,6.737915485740217,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.16999999999999926}",25,12,24.619324508070267,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.16499999999999926}",20,8,-34.788230881335615,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.15999999999999925}",20,14,0.3348632933375879,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.15499999999999925}",20,16,7.57483341673508,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.14999999999999925}",20,12,14.853561499440161,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.14499999999999924}",30,13,-35.134935073829695,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.13999999999999924}",20,0,-32.94893420129142,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
173,False,"{'a': 0.5, 'e': 0.13499999999999923}",25,8,32.36531626905605,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.12999999999999923}",25,8,29.080032061789566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.12499999999999922}",20,8,16.214531089288865,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.11999999999999922}",30,21,18.958803098343576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.11499999999999921}",25,3,23.811949000739403,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.10999999999999921}",20,2,20.168280997202604,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1049999999999992}",25,7,18.969110797166987,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.0999999999999992}",30,15,19.12744013285258,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.0949999999999992}",20,5,17.188363286355145,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.08999999999999919}",25,8,30.967661622885554,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.08499999999999919}",30,20,19.90779125666483,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,9,18.98669784122408,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.07499999999999918}",20,11,15.568377253842439,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.06999999999999917}",25,10,29.243691840759258,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.06499999999999917}",30,18,23.17942635949711,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.05999999999999917}",20,10,19.623061562445244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.054999999999999175}",20,7,0.9234813711886376,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.04999999999999918}",30,2,38.827678835141946,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,5,22.630481165704417,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,10,23.284675599943235,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,5,31.150862664959742,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,12,36.36464979355951,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,18,21.565590124374104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,5,25.824166187217216,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,3,31.091890550548175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,14,31.347028915930245,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,16,5.236084144600287,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,19,11.265342671636828,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
